name,start,end,category
Sanitary City Mapping,1840,1880,Observation
Urban Park Movement,1860,1890,Landscape
Garden City Planning,1880,1905,Planning
Municipal Water Networks,1890,1920,Infrastructure
Regional Ecological Planning,1900,1940,Research
Modernist Sunlight Standards,1910,1960,Building
Metropolitan Green Belts,1920,1970,Landscape
Air Pollution Monitoring,1940,1980,Observation
Environmental Impact Review,1960,2000,Policy
Energy-Efficient Building Codes,1970,2010,Building
Urban Heat Island Mapping,1980,2024,Research
Green Infrastructure Programs,1990,2024,Infrastructure
Climate Action Planning,2000,2024,Policy
Urban Digital Twins,2010,2024,Technology
Heat-Ready Neighborhoods,2015,2024,Public Service
