Date,Close
1/4/2021,-76
1/5/2021,-33
1/6/2021,-41
1/7/2021,-39
1/8/2021,-57
1/11/2021,-68
1/12/2021,-72
1/13/2021,-19
1/14/2021,-56
1/15/2021,-50
1/19/2021,-37
1/20/2021,-85
1/21/2021,-41
1/22/2021,-44
1/25/2021,-83
1/26/2021,-39
1/27/2021,-31
1/28/2021,-35
1/29/2021,-49
2/1/2021,-53
2/2/2021,-71
2/3/2021,-48
2/4/2021,-13
2/5/2021,-72
2/8/2021,-39
2/9/2021,-43
2/10/2021,-60
2/11/2021,-35
2/12/2021,-46
2/16/2021,-49
2/17/2021,-35
2/18/2021,-47
2/19/2021,-78
2/22/2021,-56
2/23/2021,-37
2/24/2021,-64
2/25/2021,-51
2/26/2021,-60
3/1/2021,-38
3/2/2021,-85
3/3/2021,-35
3/4/2021,-38
3/5/2021,-44
3/8/2021,-57
3/9/2021,-31
3/10/2021,-20
3/11/2021,-46
3/12/2021,-56
3/15/2021,-8
3/16/2021,-32
3/17/2021,-31
3/18/2021,-65
3/19/2021,-62
3/22/2021,-8
3/23/2021,-33
3/24/2021,-46
3/25/2021,-31
3/26/2021,-48
3/29/2021,-32
3/30/2021,-23
3/31/2021,-27
4/1/2021,-14
4/5/2021,-29
4/6/2021,-58
4/7/2021,9
4/8/2021,-57
4/9/2021,-31
4/12/2021,-13
4/13/2021,-39
4/14/2021,-16
4/15/2021,-26
4/16/2021,-60
4/19/2021,-28
4/20/2021,-17
4/21/2021,4
4/22/2021,4
4/23/2021,6
4/26/2021,-17
4/27/2021,-13
4/28/2021,-13
4/29/2021,-15
4/30/2021,-21
5/3/2021,2
5/4/2021,-3
5/5/2021,-39
5/6/2021,23
5/7/2021,-42
5/10/2021,-28
5/11/2021,-14
5/12/2021,-8
5/13/2021,-5
5/14/2021,29
5/17/2021,15
5/18/2021,-1
5/19/2021,6
5/20/2021,28
5/21/2021,6
5/24/2021,47
5/25/2021,35
5/26/2021,14
5/27/2021,12
5/28/2021,38
6/1/2021,38
6/2/2021,-8
6/3/2021,33
6/4/2021,-2
6/7/2021,29
6/8/2021,17
6/9/2021,-9
6/10/2021,22
6/11/2021,21
6/14/2021,23
6/15/2021,29
6/16/2021,56
6/17/2021,30
6/18/2021,44
6/21/2021,22
6/22/2021,72
6/23/2021,77
6/24/2021,80
6/25/2021,62
6/28/2021,68
6/29/2021,81
6/30/2021,40
7/1/2021,39
7/2/2021,63
7/6/2021,75
7/7/2021,60
7/8/2021,66
7/9/2021,64
7/12/2021,73
7/13/2021,54
7/14/2021,71
7/15/2021,39
7/16/2021,53
7/19/2021,17
7/20/2021,45
7/21/2021,60
7/22/2021,5
7/23/2021,68
7/26/2021,66
7/27/2021,42
7/28/2021,23
7/29/2021,54
7/30/2021,40
8/2/2021,77
8/3/2021,100
8/4/2021,68
8/5/2021,100
8/6/2021,65
8/9/2021,85
8/10/2021,61
8/11/2021,80
8/12/2021,48
8/13/2021,80
8/16/2021,39
8/17/2021,54
8/18/2021,82
8/19/2021,49
8/20/2021,22
8/23/2021,30
8/24/2021,47
8/25/2021,40
8/26/2021,11
8/27/2021,20
8/30/2021,33
8/31/2021,49
9/1/2021,10
9/2/2021,77
9/3/2021,53
9/7/2021,41
9/8/2021,33
9/9/2021,49
9/10/2021,45
9/13/2021,26
9/14/2021,41
9/15/2021,50
9/16/2021,38
9/17/2021,31
9/20/2021,49
9/21/2021,32
9/22/2021,39
9/23/2021,32
9/24/2021,25
9/27/2021,-3
9/28/2021,-1
9/29/2021,12
9/30/2021,21
10/1/2021,23
10/4/2021,-6
10/5/2021,12
10/6/2021,-1
10/7/2021,-36
10/8/2021,7
10/11/2021,-29
10/12/2021,23
10/13/2021,2
10/14/2021,-28
10/15/2021,6
10/18/2021,-14
10/19/2021,6
10/20/2021,-11
10/21/2021,-20
10/22/2021,15
10/25/2021,-26
10/26/2021,-7
10/27/2021,-31
10/28/2021,4
10/29/2021,-22
11/1/2021,-11
11/2/2021,-26
11/3/2021,6
11/4/2021,-43
11/5/2021,-49
11/8/2021,-2
11/9/2021,-12
11/10/2021,-40
11/11/2021,-20
11/12/2021,-36
11/15/2021,-6
11/16/2021,-5
11/17/2021,-1
11/18/2021,-37
11/19/2021,-34
11/22/2021,-33
11/23/2021,-39
11/24/2021,-26
11/26/2021,-13
11/29/2021,-47
11/30/2021,-49
12/1/2021,-57
12/2/2021,-23
12/3/2021,-34
12/6/2021,-44
12/7/2021,-52
12/8/2021,-24
12/9/2021,-44
12/10/2021,-46
12/13/2021,-86
12/14/2021,-66
12/15/2021,-61
12/16/2021,-61
12/17/2021,-86
12/20/2021,-85
12/21/2021,-62
12/22/2021,-37
12/23/2021,-76
12/27/2021,-55
12/28/2021,-64
12/29/2021,-46
12/30/2021,-52
12/31/2021,-53
1/3/2022,-60
1/4/2022,-80
1/5/2022,-68
1/6/2022,-26
1/7/2022,-63
1/10/2022,-51
1/11/2022,-85
1/12/2022,-9
1/13/2022,-49
1/14/2022,-22
1/18/2022,-49
1/19/2022,-27
1/20/2022,-30
1/21/2022,-60
1/24/2022,-19
1/25/2022,-56
1/26/2022,-65
1/27/2022,-67
1/28/2022,-65
1/31/2022,-44
2/1/2022,-58
2/2/2022,-45
2/3/2022,-34
2/4/2022,-51
2/7/2022,-48
2/8/2022,-41
2/9/2022,-48
2/10/2022,-44
2/11/2022,-38
2/14/2022,-37
2/15/2022,-70
2/16/2022,-46
2/17/2022,-36
2/18/2022,-25
2/22/2022,-39
2/23/2022,-22
2/24/2022,-18
2/25/2022,-35
2/28/2022,-46
3/1/2022,-53
3/2/2022,-41
3/3/2022,-23
3/4/2022,-53
3/7/2022,-45
3/8/2022,-64
3/9/2022,-41
3/10/2022,3
3/11/2022,-55
3/14/2022,-34
3/15/2022,-23
3/16/2022,-23
3/17/2022,14
3/18/2022,-62
3/21/2022,-40
3/22/2022,-11
3/23/2022,-31
3/24/2022,-22
3/25/2022,-16
3/28/2022,-30
3/29/2022,-31
3/30/2022,-23
3/31/2022,-21
4/1/2022,-13
4/4/2022,-34
4/5/2022,-2
4/6/2022,-10
4/7/2022,-40
4/8/2022,-10
4/11/2022,-6
4/12/2022,-23
4/13/2022,-24
4/14/2022,-14
4/18/2022,-13
4/19/2022,-6
4/20/2022,-1
4/21/2022,8
4/22/2022,-13
4/25/2022,10
4/26/2022,-10
4/27/2022,-8
4/28/2022,17
4/29/2022,-17
5/2/2022,31
5/3/2022,-2
5/4/2022,2
5/5/2022,16
5/6/2022,21
5/9/2022,-4
5/10/2022,10
5/11/2022,7
5/12/2022,41
5/13/2022,-13
5/16/2022,17
5/17/2022,17
5/18/2022,12
5/19/2022,20
5/20/2022,7
5/23/2022,41
5/24/2022,22
5/25/2022,-22
5/26/2022,57
5/27/2022,29
5/31/2022,25
6/1/2022,-5
6/2/2022,10
6/3/2022,-14
6/6/2022,24
6/7/2022,2
6/8/2022,15
6/9/2022,34
6/10/2022,5
6/13/2022,46
6/14/2022,72
6/15/2022,64
6/16/2022,54
6/17/2022,76
6/21/2022,81
6/22/2022,63
6/23/2022,95
6/24/2022,85
6/27/2022,68
6/28/2022,85
6/29/2022,85
6/30/2022,72
7/1/2022,80
7/5/2022,97
7/6/2022,90
7/7/2022,70
7/8/2022,58
7/11/2022,74
7/12/2022,67
7/13/2022,83
7/14/2022,71
7/15/2022,74
7/18/2022,17
7/19/2022,48
7/20/2022,59
7/21/2022,25
7/22/2022,51
7/25/2022,48
7/26/2022,77
7/27/2022,66
7/28/2022,55
7/29/2022,90
8/1/2022,85
8/2/2022,68
8/3/2022,100
8/4/2022,88
8/5/2022,100
8/8/2022,100
8/9/2022,87
8/10/2022,82
8/11/2022,100
8/12/2022,76
8/15/2022,52
8/16/2022,68
